In [1]: %run create_time_graph_files.py
85: start day= 34.579; elapsed secs, days= 42539, 0.492;  # nodes,edges= 25254, 114826
86: start day= 35.071; elapsed secs, days= 31809, 0.368;  # nodes,edges= 25289, 115381
87: start day= 35.440; elapsed secs, days= 18240, 0.211;  # nodes,edges= 25353, 116265
88: start day= 35.651; elapsed secs, days= 28062, 0.325;  # nodes,edges= 25384, 116777
89: start day= 35.976; elapsed secs, days= 34995, 0.405;  # nodes,edges= 25392, 116986
90: start day= 36.381; elapsed secs, days= 17416, 0.202;  # nodes,edges= 25446, 117733
91: start day= 36.582; elapsed secs, days= 20586, 0.238;  # nodes,edges= 25493, 118356
92: start day= 36.820; elapsed secs, days= 36855, 0.427;  # nodes,edges= 25494, 118428
93: start day= 37.247; elapsed secs, days= 20966, 0.243;  # nodes,edges= 25521, 119075
94: start day= 37.490; elapsed secs, days= 17645, 0.204;  # nodes,edges= 25571, 119860
95: start day= 37.694; elapsed secs, days= 30301, 0.351;  # nodes,edges= 25584, 120149
96: start day= 38.045; elapsed secs, days= 30253, 0.350;  # nodes,edges= 25597, 120368
97: start day= 38.395; elapsed secs, days= 17162, 0.199;  # nodes,edges= 25731, 122185
98: start day= 38.593; elapsed secs, days= 22604, 0.262;  # nodes,edges= 25778, 122965
99: start day= 38.855; elapsed secs, days= 41883, 0.485;  # nodes,edges= 25778, 123089
100: start day= 39.340; elapsed secs, days= 24123, 0.279;  # nodes,edges= 25810, 123756
101: start day= 39.619; elapsed secs, days= 123396, 1.428;  # nodes,edges= 25849, 124060
102: start day= 41.047; elapsed secs, days= 377157, 4.365;  # nodes,edges= 25913, 124677
103: start day= 45.412; elapsed secs, days= 17766, 0.206;  # nodes,edges= 25974, 125479
104: start day= 45.618; elapsed secs, days= 21594, 0.250;  # nodes,edges= 26010, 126089
105: start day= 45.868; elapsed secs, days= 39772, 0.460;  # nodes,edges= 26011, 126167
106: start day= 46.328; elapsed secs, days= 23965, 0.277;  # nodes,edges= 26053, 127086
107: start day= 46.606; elapsed secs, days= 35589, 0.412;  # nodes,edges= 26074, 127478
108: start day= 47.018; elapsed secs, days= 44581, 0.516;  # nodes,edges= 26074, 127575
109: start day= 47.534; elapsed secs, days= 44609, 0.516;  # nodes,edges= 26078, 127657
110: start day= 48.050; elapsed secs, days= 41653, 0.482;  # nodes,edges= 26096, 127738
111: start day= 48.532; elapsed secs, days= 43541, 0.504;  # nodes,edges= 26098, 127882
112: start day= 49.036; elapsed secs, days= 35042, 0.406;  # nodes,edges= 26116, 128481
113: start day= 49.441; elapsed secs, days= 18708, 0.217;  # nodes,edges= 26146, 129195
114: start day= 49.658; elapsed secs, days= 24955, 0.289;  # nodes,edges= 26163, 129621
115: start day= 49.947; elapsed secs, days= 37002, 0.428;  # nodes,edges= 26168, 129757
116: start day= 50.375; elapsed secs, days= 20072, 0.232;  # nodes,edges= 26206, 130455
117: start day= 50.607; elapsed secs, days= 27225, 0.315;  # nodes,edges= 26225, 130916
118: start day= 50.922; elapsed secs, days= 39528, 0.458;  # nodes,edges= 26228, 131039
119: start day= 51.380; elapsed secs, days= 33791, 0.391;  # nodes,edges= 26268, 131681
120: start day= 51.771; elapsed secs, days= 76642, 0.887;  # nodes,edges= 26269, 131770
121: start day= 52.658; elapsed secs, days= 167399, 1.937;  # nodes,edges= 26270, 131874
122: start day= 54.596; elapsed secs, days= 69699, 0.807;  # nodes,edges= 26270, 131966
123: start day= 55.402; elapsed secs, days= 81255, 0.940;  # nodes,edges= 26274, 132191
124: start day= 56.343; elapsed secs, days= 19017, 0.220;  # nodes,edges= 26299, 133072
125: start day= 56.563; elapsed secs, days= 20328, 0.235;  # nodes,edges= 26335, 133605
126: start day= 56.798; elapsed secs, days= 43363, 0.502;  # nodes,edges= 26336, 133699
127: start day= 57.300; elapsed secs, days= 20128, 0.233;  # nodes,edges= 26374, 134438
128: start day= 57.533; elapsed secs, days= 18294, 0.212;  # nodes,edges= 26414, 135008
129: start day= 57.745; elapsed secs, days= 36177, 0.419;  # nodes,edges= 26414, 135111
130: start day= 58.163; elapsed secs, days= 25722, 0.298;  # nodes,edges= 26434, 135694
131: start day= 58.461; elapsed secs, days= 17112, 0.198;  # nodes,edges= 26476, 136367
132: start day= 58.659; elapsed secs, days= 26365, 0.305;  # nodes,edges= 26491, 136747
133: start day= 58.964; elapsed secs, days= 37186, 0.430;  # nodes,edges= 26497, 136977
134: start day= 59.395; elapsed secs, days= 19912, 0.230;  # nodes,edges= 26545, 137673
135: start day= 59.625; elapsed secs, days= 28482, 0.330;  # nodes,edges= 26570, 138058
136: start day= 59.955; elapsed secs, days= 37182, 0.430;  # nodes,edges= 26572, 138169
137: start day= 60.385; elapsed secs, days= 22859, 0.265;  # nodes,edges= 26611, 138684
138: start day= 60.650; elapsed secs, days= 36979, 0.428;  # nodes,edges= 26622, 138904
139: start day= 61.078; elapsed secs, days= 41753, 0.483;  # nodes,edges= 26625, 138986
140: start day= 61.561; elapsed secs, days= 38511, 0.446;  # nodes,edges= 26628, 139064
141: start day= 62.007; elapsed secs, days= 112128, 1.298;  # nodes,edges= 26629, 139212
142: start day= 63.305; elapsed secs, days= 22546, 0.261;  # nodes,edges= 26667, 139923
143: start day= 63.566; elapsed secs, days= 25891, 0.300;  # nodes,edges= 26708, 140580
144: start day= 63.865; elapsed secs, days= 41592, 0.481;  # nodes,edges= 26709, 140659
145: start day= 64.347; elapsed secs, days= 18139, 0.210;  # nodes,edges= 26746, 141279
146: start day= 64.557; elapsed secs, days= 18092, 0.209;  # nodes,edges= 26781, 141842
147: start day= 64.766; elapsed secs, days= 36030, 0.417;  # nodes,edges= 26783, 141941
148: start day= 65.183; elapsed secs, days= 25425, 0.294;  # nodes,edges= 26803, 142442
149: start day= 65.477; elapsed secs, days= 17750, 0.205;  # nodes,edges= 26847, 143081
150: start day= 65.683; elapsed secs, days= 29348, 0.340;  # nodes,edges= 26860, 143311
151: start day= 66.022; elapsed secs, days= 31986, 0.370;  # nodes,edges= 26866, 143456
152: start day= 66.393; elapsed secs, days= 17330, 0.201;  # nodes,edges= 26899, 144046
153: start day= 66.593; elapsed secs, days= 19636, 0.227;  # nodes,edges= 26941, 144534
154: start day= 66.820; elapsed secs, days= 39467, 0.457;  # nodes,edges= 26941, 144633
155: start day= 67.277; elapsed secs, days= 25564, 0.296;  # nodes,edges= 26960, 145351
156: start day= 67.573; elapsed secs, days= 32326, 0.374;  # nodes,edges= 26980, 145696
157: start day= 67.947; elapsed secs, days= 44270, 0.512;  # nodes,edges= 26982, 145745
158: start day= 68.460; elapsed secs, days= 38910, 0.450;  # nodes,edges= 26986, 145857
159: start day= 68.910; elapsed secs, days= 42607, 0.493;  # nodes,edges= 26986, 145929
160: start day= 69.403; elapsed secs, days= 43282, 0.501;  # nodes,edges= 26986, 146099
161: start day= 69.904; elapsed secs, days= 41316, 0.478;  # nodes,edges= 26988, 146347
162: start day= 70.382; elapsed secs, days= 16956, 0.196;  # nodes,edges= 27015, 147058
163: start day= 70.578; elapsed secs, days= 17898, 0.207;  # nodes,edges= 27053, 147568
164: start day= 70.786; elapsed secs, days= 55179, 0.639;  # nodes,edges= 27072, 147875
165: start day= 71.424; elapsed secs, days= 64338, 0.745;  # nodes,edges= 27121, 148600
166: start day= 72.169; elapsed secs, days= 24601, 0.285;  # nodes,edges= 27143, 148988
167: start day= 72.454; elapsed secs, days= 17107, 0.198;  # nodes,edges= 27173, 149519
168: start day= 72.652; elapsed secs, days= 24130, 0.279;  # nodes,edges= 27191, 149821
169: start day= 72.931; elapsed secs, days= 37700, 0.436;  # nodes,edges= 27193, 149932
170: start day= 73.367; elapsed secs, days= 20808, 0.241;  # nodes,edges= 27235, 150565
171: start day= 73.608; elapsed secs, days= 30149, 0.349;  # nodes,edges= 27263, 150949
172: start day= 73.957; elapsed secs, days= 37853, 0.438;  # nodes,edges= 27264, 151078
173: start day= 74.395; elapsed secs, days= 36547, 0.423;  # nodes,edges= 27266, 151389
174: start day= 74.818; elapsed secs, days= 41926, 0.485;  # nodes,edges= 27266, 151427
175: start day= 75.303; elapsed secs, days= 38340, 0.444;  # nodes,edges= 27271, 151545
176: start day= 75.747; elapsed secs, days= 38140, 0.441;  # nodes,edges= 27273, 151865
177: start day= 76.189; elapsed secs, days= 38440, 0.445;  # nodes,edges= 27273, 152462
178: start day= 76.634; elapsed secs, days= 42869, 0.496;  # nodes,edges= 27274, 152635
179: start day= 77.130; elapsed secs, days= 27862, 0.322;  # nodes,edges= 27367, 153142
180: start day= 77.452; elapsed secs, days= 16360, 0.189;  # nodes,edges= 27440, 153873
181: start day= 77.642; elapsed secs, days= 21241, 0.246;  # nodes,edges= 27525, 155369
182: start day= 77.887; elapsed secs, days= 35452, 0.410;  # nodes,edges= 27526, 155411
183: start day= 78.298; elapsed secs, days= 17953, 0.208;  # nodes,edges= 27571, 156170
184: start day= 78.505; elapsed secs, days= 15917, 0.184;  # nodes,edges= 27617, 156971
185: start day= 78.690; elapsed secs, days= 25681, 0.297;  # nodes,edges= 27624, 157172
186: start day= 78.987; elapsed secs, days= 32011, 0.370;  # nodes,edges= 27631, 157387
187: start day= 79.357; elapsed secs, days= 18804, 0.218;  # nodes,edges= 27664, 158106
188: start day= 79.575; elapsed secs, days= 21376, 0.247;  # nodes,edges= 27708, 158809
189: start day= 79.822; elapsed secs, days= 44521, 0.515;  # nodes,edges= 27710, 158925
190: start day= 80.338; elapsed secs, days= 19260, 0.223;  # nodes,edges= 27745, 159636
191: start day= 80.561; elapsed secs, days= 25239, 0.292;  # nodes,edges= 27765, 160168
192: start day= 80.853; elapsed secs, days= 105304, 1.219;  # nodes,edges= 27804, 160793
193: start day= 82.072; elapsed secs, days= 78942, 0.914;  # nodes,edges= 27804, 160868
194: start day= 82.985; elapsed secs, days= 74799, 0.866;  # nodes,edges= 27804, 160927
195: start day= 83.851; elapsed secs, days= 95128, 1.101;  # nodes,edges= 27808, 161128
196: start day= 84.952; elapsed secs, days= 97534, 1.129;  # nodes,edges= 27813, 161259
197: start day= 86.081; elapsed secs, days= 97663, 1.130;  # nodes,edges= 27814, 161366
198: start day= 87.211; elapsed secs, days= 126700, 1.466;  # nodes,edges= 27814, 161570
199: start day= 88.678; elapsed secs, days= 109097, 1.263;  # nodes,edges= 27815, 161676
200: start day= 89.940; elapsed secs, days= 84697, 0.980;  # nodes,edges= 27815, 161752
201: start day= 90.921; elapsed secs, days= 97440, 1.128;  # nodes,edges= 27815, 161874
202: start day= 92.048; elapsed secs, days= 102616, 1.188;  # nodes,edges= 27815, 162042
203: start day= 93.236; elapsed secs, days= 28746, 0.333;  # nodes,edges= 27858, 162918
204: start day= 93.569; elapsed secs, days= 28599, 0.331;  # nodes,edges= 27885, 163309
205: start day= 93.900; elapsed secs, days= 43186, 0.500;  # nodes,edges= 27890, 163510
206: start day= 94.400; elapsed secs, days= 20422, 0.236;  # nodes,edges= 27919, 164073
207: start day= 94.636; elapsed secs, days= 32426, 0.375;  # nodes,edges= 27935, 164507
208: start day= 95.011; elapsed secs, days= 39993, 0.463;  # nodes,edges= 27956, 165009
209: start day= 95.474; elapsed secs, days= 31504, 0.365;  # nodes,edges= 27965, 165447
210: start day= 95.839; elapsed secs, days= 111645, 1.292;  # nodes,edges= 27967, 165560
211: start day= 97.131; elapsed secs, days= 46066, 0.533;  # nodes,edges= 27967, 165642
212: start day= 97.664; elapsed secs, days= 52244, 0.605;  # nodes,edges= 27967, 165748
213: start day= 98.269; elapsed secs, days= 21421, 0.248;  # nodes,edges= 27993, 166461
214: start day= 98.517; elapsed secs, days= 17881, 0.207;  # nodes,edges= 28013, 166972
215: start day= 98.724; elapsed secs, days= 34607, 0.401;  # nodes,edges= 28017, 167095
216: start day= 99.124; elapsed secs, days= 27042, 0.313;  # nodes,edges= 28039, 167434
217: start day= 99.437; elapsed secs, days= 17482, 0.202;  # nodes,edges= 28082, 167975
218: start day= 99.640; elapsed secs, days= 27191, 0.315;  # nodes,edges= 28104, 168300
219: start day= 99.954; elapsed secs, days= 37151, 0.430;  # nodes,edges= 28107, 168441
220: start day= 100.384; elapsed secs, days= 17248, 0.200;  # nodes,edges= 28135, 168962
221: start day= 100.584; elapsed secs, days= 19083, 0.221;  # nodes,edges= 28163, 169341
222: start day= 100.805; elapsed secs, days= 36906, 0.427;  # nodes,edges= 28163, 169398
223: start day= 101.232; elapsed secs, days= 21926, 0.254;  # nodes,edges= 28173, 169850
224: start day= 101.486; elapsed secs, days= 17268, 0.200;  # nodes,edges= 28220, 170417
225: start day= 101.686; elapsed secs, days= 30903, 0.358;  # nodes,edges= 28232, 170760
226: start day= 102.043; elapsed secs, days= 34285, 0.397;  # nodes,edges= 28237, 171087
227: start day= 102.440; elapsed secs, days= 22807, 0.264;  # nodes,edges= 28297, 172036
228: start day= 102.704; elapsed secs, days= 47997, 0.556;  # nodes,edges= 28301, 172103
229: start day= 103.260; elapsed secs, days= 53621, 0.621;  # nodes,edges= 28301, 172201
230: start day= 103.880; elapsed secs, days= 45392, 0.525;  # nodes,edges= 28301, 172268
231: start day= 104.406; elapsed secs, days= 44653, 0.517;  # nodes,edges= 28302, 172372
232: start day= 104.922; elapsed secs, days= 40925, 0.474;  # nodes,edges= 28309, 172601
233: start day= 105.396; elapsed secs, days= 16356, 0.189;  # nodes,edges= 28340, 173162
234: start day= 105.585; elapsed secs, days= 17123, 0.198;  # nodes,edges= 28368, 173631
235: start day= 105.784; elapsed secs, days= 31558, 0.365;  # nodes,edges= 28369, 173676
236: start day= 106.149; elapsed secs, days= 24757, 0.287;  # nodes,edges= 28379, 173894
237: start day= 106.435; elapsed secs, days= 15704, 0.182;  # nodes,edges= 28419, 174376
238: start day= 106.617; elapsed secs, days= 50773, 0.588;  # nodes,edges= 28456, 174791
239: start day= 107.205; elapsed secs, days= 23457, 0.271;  # nodes,edges= 28482, 175243
240: start day= 107.476; elapsed secs, days= 19014, 0.220;  # nodes,edges= 28522, 175822
241: start day= 107.696; elapsed secs, days= 33442, 0.387;  # nodes,edges= 28531, 176056
242: start day= 108.083; elapsed secs, days= 32753, 0.379;  # nodes,edges= 28546, 176537
243: start day= 108.463; elapsed secs, days= 17579, 0.203;  # nodes,edges= 28579, 177081
244: start day= 108.666; elapsed secs, days= 31660, 0.366;  # nodes,edges= 28596, 177334
245: start day= 109.032; elapsed secs, days= 35400, 0.410;  # nodes,edges= 28601, 177566
246: start day= 109.442; elapsed secs, days= 25061, 0.290;  # nodes,edges= 28633, 178023
247: start day= 109.732; elapsed secs, days= 48170, 0.558;  # nodes,edges= 28634, 178076
248: start day= 110.290; elapsed secs, days= 43752, 0.506;  # nodes,edges= 28635, 178155
249: start day= 110.796; elapsed secs, days= 42324, 0.490;  # nodes,edges= 28636, 178208
250: start day= 111.286; elapsed secs, days= 45858, 0.531;  # nodes,edges= 28636, 178272
251: start day= 111.817; elapsed secs, days= 51018, 0.590;  # nodes,edges= 28636, 178324
252: start day= 112.407; elapsed secs, days= 49748, 0.576;  # nodes,edges= 28637, 178480
253: start day= 112.983; elapsed secs, days= 92873, 1.075;  # nodes,edges= 28682, 179307
254: start day= 114.058; elapsed secs, days= 31603, 0.366;  # nodes,edges= 28688, 179616
255: start day= 114.424; elapsed secs, days= 18445, 0.213;  # nodes,edges= 28714, 180137
256: start day= 114.637; elapsed secs, days= 25678, 0.297;  # nodes,edges= 28724, 180494
257: start day= 114.934; elapsed secs, days= 37536, 0.434;  # nodes,edges= 28724, 180585
258: start day= 115.369; elapsed secs, days= 19156, 0.222;  # nodes,edges= 28758, 181144
259: start day= 115.591; elapsed secs, days= 18985, 0.220;  # nodes,edges= 28781, 181546
260: start day= 115.810; elapsed secs, days= 39509, 0.457;  # nodes,edges= 28785, 181614
261: start day= 116.268; elapsed secs, days= 25607, 0.296;  # nodes,edges= 28803, 182170
262: start day= 116.564; elapsed secs, days= 30208, 0.350;  # nodes,edges= 28810, 182443
263: start day= 116.914; elapsed secs, days= 44037, 0.510;  # nodes,edges= 28810, 182467
264: start day= 117.423; elapsed secs, days= 38448, 0.445;  # nodes,edges= 28813, 182555
265: start day= 117.868; elapsed secs, days= 40411, 0.468;  # nodes,edges= 28813, 182612
266: start day= 118.336; elapsed secs, days= 40578, 0.470;  # nodes,edges= 28814, 182713
267: start day= 118.806; elapsed secs, days= 45104, 0.522;  # nodes,edges= 28814, 182790
268: start day= 119.328; elapsed secs, days= 17742, 0.205;  # nodes,edges= 28850, 183410
269: start day= 119.533; elapsed secs, days= 16936, 0.196;  # nodes,edges= 28880, 183854
270: start day= 119.729; elapsed secs, days= 32792, 0.380;  # nodes,edges= 28885, 183957
271: start day= 120.109; elapsed secs, days= 55080, 0.637;  # nodes,edges= 28946, 184842
272: start day= 120.746; elapsed secs, days= 55478, 0.642;  # nodes,edges= 28955, 185061
273: start day= 121.388; elapsed secs, days= 20979, 0.243;  # nodes,edges= 28994, 185568
274: start day= 121.631; elapsed secs, days= 29772, 0.345;  # nodes,edges= 29017, 185858
275: start day= 121.976; elapsed secs, days= 33350, 0.386;  # nodes,edges= 29019, 185968
276: start day= 122.362; elapsed secs, days= 17184, 0.199;  # nodes,edges= 29058, 186496
277: start day= 122.560; elapsed secs, days= 18210, 0.211;  # nodes,edges= 29088, 186890
278: start day= 122.771; elapsed secs, days= 36391, 0.421;  # nodes,edges= 29091, 186950
279: start day= 123.192; elapsed secs, days= 27321, 0.316;  # nodes,edges= 29102, 187266
280: start day= 123.509; elapsed secs, days= 26403, 0.306;  # nodes,edges= 29121, 187645
281: start day= 123.814; elapsed secs, days= 41810, 0.484;  # nodes,edges= 29121, 187685
282: start day= 124.298; elapsed secs, days= 38258, 0.443;  # nodes,edges= 29122, 187777
283: start day= 124.741; elapsed secs, days= 36972, 0.428;  # nodes,edges= 29124, 187851
284: start day= 125.169; elapsed secs, days= 37718, 0.437;  # nodes,edges= 29124, 187893
285: start day= 125.605; elapsed secs, days= 41952, 0.486;  # nodes,edges= 29124, 187977
286: start day= 126.091; elapsed secs, days= 30157, 0.349;  # nodes,edges= 29147, 188284
287: start day= 126.440; elapsed secs, days= 17045, 0.197;  # nodes,edges= 29177, 189298
288: start day= 126.637; elapsed secs, days= 25721, 0.298;  # nodes,edges= 29187, 190728
289: start day= 126.935; elapsed secs, days= 35688, 0.413;  # nodes,edges= 29189, 190877
290: start day= 127.348; elapsed secs, days= 17096, 0.198;  # nodes,edges= 29216, 193104
291: start day= 127.546; elapsed secs, days= 17243, 0.200;  # nodes,edges= 29243, 195119
292: start day= 127.745; elapsed secs, days= 34216, 0.396;  # nodes,edges= 29245, 195532
293: start day= 128.141; elapsed secs, days= 25505, 0.295;  # nodes,edges= 29261, 197434
294: start day= 128.437; elapsed secs, days= 16316, 0.189;  # nodes,edges= 29284, 199800
295: start day= 128.626; elapsed secs, days= 22979, 0.266;  # nodes,edges= 29299, 200592
296: start day= 128.891; elapsed secs, days= 35212, 0.408;  # nodes,edges= 29302, 201547
297: start day= 129.299; elapsed secs, days= 19114, 0.221;  # nodes,edges= 29338, 203711
298: start day= 129.520; elapsed secs, days= 18992, 0.220;  # nodes,edges= 29369, 204994
299: start day= 129.740; elapsed secs, days= 39652, 0.459;  # nodes,edges= 29371, 205494
300: start day= 130.199; elapsed secs, days= 28186, 0.326;  # nodes,edges= 29389, 206430
301: start day= 130.525; elapsed secs, days= 25072, 0.290;  # nodes,edges= 29405, 207036
302: start day= 130.815; elapsed secs, days= 40749, 0.472;  # nodes,edges= 29405, 207257
303: start day= 131.287; elapsed secs, days= 37958, 0.439;  # nodes,edges= 29406, 207503
304: start day= 131.726; elapsed secs, days= 74755, 0.865;  # nodes,edges= 29406, 208383
305: start day= 132.592; elapsed secs, days= 67105, 0.777;  # nodes,edges= 29410, 210728
306: start day= 133.368; elapsed secs, days= 15127, 0.175;  # nodes,edges= 29434, 213352
307: start day= 133.543; elapsed secs, days= 15898, 0.184;  # nodes,edges= 29455, 214191
308: start day= 133.727; elapsed secs, days= 32133, 0.372;  # nodes,edges= 29457, 214420
309: start day= 134.099; elapsed secs, days= 27160, 0.314;  # nodes,edges= 29464, 215055
